months_loan_duration,credit_history,purpose,amount,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
6,critical,furniture/appliances,1169,4,4,67,none,own,2,skilled,1,yes,no
48,good,furniture/appliances,5951,2,2,22,none,own,1,skilled,1,no,yes
12,critical,education,2096,2,3,49,none,own,1,unskilled,2,no,no
42,good,furniture/appliances,7882,2,4,45,none,other,1,skilled,2,no,no
24,poor,car,4870,3,4,53,none,other,2,skilled,2,no,yes
36,good,education,9055,2,4,35,none,other,1,unskilled,2,yes,no
24,good,furniture/appliances,2835,3,4,53,none,own,1,skilled,1,no,no
36,good,car,6948,2,2,35,none,rent,1,management,1,yes,no
12,good,furniture/appliances,3059,2,4,61,none,own,1,unskilled,1,no,no
30,critical,car,5234,4,2,28,none,own,2,management,1,no,yes
12,good,car,1295,3,1,25,none,rent,1,skilled,1,no,yes
48,good,business,4308,3,4,24,none,rent,1,skilled,1,no,yes
12,good,furniture/appliances,1567,1,1,22,none,own,1,skilled,1,yes,no
24,critical,car,1199,4,4,60,none,own,2,unskilled,1,no,yes
15,good,car,1403,2,4,28,none,rent,1,skilled,1,no,no
24,good,furniture/appliances,1282,4,2,32,none,own,1,unskilled,1,no,yes
24,critical,furniture/appliances,2424,4,4,53,none,own,2,skilled,1,no,no
30,perfect,business,8072,2,3,25,bank,own,3,skilled,1,no,no
24,good,car,12579,4,2,44,none,other,1,management,1,yes,yes
24,good,furniture/appliances,3430,3,2,31,none,own,1,skilled,2,yes,no
9,critical,car,2134,4,4,48,none,own,3,skilled,1,yes,no
6,good,furniture/appliances,2647,2,3,44,none,rent,1,skilled,2,no,no
10,critical,car,2241,1,3,48,none,rent,2,unskilled,2,no,no
12,critical,car,1804,3,4,44,none,own,1,skilled,1,no,no
10,critical,furniture/appliances,2069,2,1,26,none,own,2,skilled,1,no,no
6,good,furniture/appliances,1374,1,2,36,bank,own,1,unskilled,1,yes,no
6,perfect,furniture/appliances,426,4,4,39,none,own,1,unskilled,1,no,no
12,very good,furniture/appliances,409,3,3,42,none,rent,2,skilled,1,no,no
7,good,furniture/appliances,2415,3,2,34,none,own,1,skilled,1,no,no
60,poor,business,6836,3,4,63,none,own,2,skilled,1,yes,yes
18,good,business,1913,3,3,36,bank,own,1,skilled,1,yes,no
24,good,furniture/appliances,4020,2,2,27,store,own,1,skilled,1,no,no
18,good,car,5866,2,2,30,none,own,2,skilled,1,yes,no
12,critical,business,1264,4,4,57,none,rent,1,unskilled,1,no,no
12,good,furniture/appliances,1474,4,1,33,bank,own,1,management,1,yes,no
45,critical,furniture/appliances,4746,4,2,25,none,own,2,unskilled,1,no,yes
48,critical,education,6110,1,3,31,bank,other,1,skilled,1,yes,no
18,good,furniture/appliances,2100,4,2,37,store,own,1,skilled,1,no,yes
10,good,furniture/appliances,1225,2,2,37,none,own,1,skilled,1,yes,no
9,good,furniture/appliances,458,4,3,24,none,own,1,skilled,1,no,no
30,good,furniture/appliances,2333,4,2,30,bank,own,1,management,1,no,no
12,good,furniture/appliances,1158,3,1,26,none,own,1,skilled,1,yes,no
18,poor,renovations,6204,2,4,44,none,own,1,unskilled,2,yes,no
30,critical,car,6187,1,4,24,none,rent,2,skilled,1,no,no
48,critical,car,6143,4,4,58,store,other,2,unskilled,1,no,yes
11,critical,car,1393,4,4,35,none,own,2,management,1,no,no
36,good,furniture/appliances,2299,4,4,39,none,own,1,skilled,1,no,no
6,good,car,1352,1,2,23,none,rent,1,unemployed,1,yes,no
11,critical,car,7228,1,4,39,none,own,2,unskilled,1,no,no
12,good,furniture/appliances,2073,4,2,28,none,own,1,skilled,1,no,no
24,poor,furniture/appliances,2333,4,2,29,bank,own,1,unskilled,1,no,no
27,poor,car,5965,1,2,30,none,own,2,management,1,yes,no
12,good,furniture/appliances,1262,3,2,25,none,own,1,skilled,1,no,no
18,good,car,3378,2,1,31,none,own,1,skilled,1,yes,no
36,poor,car,2225,4,4,57,bank,other,2,skilled,1,yes,yes
6,very good,car,783,1,2,26,store,own,1,unskilled,2,no,no
12,good,furniture/appliances,6468,2,1,52,none,own,1,management,1,yes,yes
36,critical,furniture/appliances,9566,2,2,31,store,own,2,skilled,1,no,no
18,good,car,1961,3,2,23,none,own,1,management,1,no,no
36,critical,furniture/appliances,6229,4,4,23,none,rent,2,unskilled,1,yes,yes
9,good,business,1391,2,1,27,bank,own,1,skilled,1,yes,no
15,critical,furniture/appliances,1537,4,4,50,none,own,2,skilled,1,yes,no
36,perfect,business,1953,4,4,61,none,other,1,management,1,yes,yes
48,perfect,business,14421,2,2,25,none,own,1,skilled,1,yes,yes
24,good,furniture/appliances,3181,4,4,26,none,own,1,skilled,1,yes,no
27,good,renovations,5190,4,4,48,none,own,4,skilled,2,yes,no
12,good,furniture/appliances,2171,2,2,29,bank,own,1,skilled,1,no,no
12,good,car,1007,4,1,22,none,own,1,skilled,1,no,no
36,good,education,1819,4,4,37,store,other,1,skilled,1,yes,yes
36,good,furniture/appliances,2394,4,4,25,none,own,1,skilled,1,no,no
36,good,car,8133,1,2,30,bank,own,1,skilled,1,no,no
7,critical,furniture/appliances,730,4,2,46,none,rent,2,unskilled,1,yes,no
8,critical,car0,1164,3,4,51,bank,other,2,management,2,yes,no
42,critical,business,5954,2,1,41,bank,own,2,unskilled,1,no,no
36,good,education,1977,4,4,40,none,own,1,management,1,yes,yes
12,critical,car,1526,4,4,66,none,other,2,management,1,no,no
42,good,furniture/appliances,3965,4,3,34,none,own,1,skilled,1,no,yes
11,poor,furniture/appliances,4771,2,4,51,none,own,1,skilled,1,no,no
54,perfect,car,9436,2,2,39,none,own,1,unskilled,2,no,no
30,good,furniture/appliances,3832,2,1,22,none,own,1,skilled,1,no,no
24,good,furniture/appliances,5943,1,1,44,none,own,2,skilled,1,yes,yes
15,good,furniture/appliances,1213,4,3,47,store,own,1,skilled,1,yes,no
18,good,business,1568,3,4,24,none,rent,1,unskilled,1,no,no
24,good,car0,1755,4,4,58,none,own,1,unskilled,1,yes,no
10,good,furniture/appliances,2315,3,4,52,none,own,1,unskilled,1,no,no
12,critical,business,1412,4,2,29,none,own,2,management,1,yes,no
18,critical,furniture/appliances,1295,4,1,27,none,own,2,skilled,1,no,no
36,good,education,12612,1,4,47,none,other,1,skilled,2,yes,yes
18,good,car,2249,4,3,30,none,own,1,management,2,yes,no
12,perfect,renovations,1108,4,3,28,none,own,2,skilled,1,no,yes
12,critical,furniture/appliances,618,4,4,56,none,own,1,skilled,1,no,no
12,critical,car,1409,4,3,54,none,own,1,skilled,1,no,no
12,critical,furniture/appliances,797,4,3,33,bank,own,1,unskilled,2,no,yes
24,critical,furniture/appliances,3617,4,4,20,none,rent,2,skilled,1,no,no
12,good,car,1318,4,4,54,none,own,1,skilled,1,yes,no
54,perfect,business,15945,3,4,58,none,rent,1,skilled,1,yes,yes
12,critical,education,2012,4,2,61,none,own,1,skilled,1,no,no
18,good,business,2622,4,4,34,none,own,1,skilled,1,no,no
36,critical,furniture/appliances,2337,4,4,36,none,own,1,skilled,1,no,no
20,poor,car,7057,3,4,36,bank,rent,2,management,2,yes,no
24,good,car,1469,4,4,41,none,rent,1,unskilled,1,no,no
36,good,furniture/appliances,2323,4,4,24,none,rent,1,skilled,1,no,no
6,poor,furniture/appliances,932,3,2,24,none,own,1,skilled,1,no,no
9,critical,furniture/appliances,1919,4,3,35,none,rent,1,skilled,1,yes,no
12,good,car,2445,2,4,26,none,rent,1,skilled,1,yes,no
24,critical,car0,11938,2,3,39,none,own,2,management,2,yes,yes
18,very good,car,6458,2,4,39,bank,own,2,management,2,yes,yes
12,good,car,6078,2,2,32,none,own,1,skilled,1,no,no
24,good,furniture/appliances,7721,1,2,30,none,own,1,skilled,1,yes,no
14,good,business,1410,1,2,35,none,own,1,skilled,1,yes,no
6,poor,business,1449,1,2,31,bank,own,2,skilled,2,no,no
15,good,education,392,4,4,23,none,rent,1,skilled,1,yes,no
18,good,car,6260,3,3,28,none,rent,1,unskilled,1,no,no
36,critical,car,7855,4,2,25,store,own,2,skilled,1,yes,yes
12,good,furniture/appliances,1680,3,1,35,none,own,1,skilled,1,no,no
48,critical,furniture/appliances,3578,4,1,47,none,own,1,skilled,1,yes,no
42,good,furniture/appliances,7174,4,3,30,none,own,1,management,1,yes,yes
10,critical,furniture/appliances,2132,2,3,27,none,rent,2,skilled,1,no,no
33,critical,furniture/appliances,4281,1,4,23,none,own,2,skilled,1,no,yes
12,critical,car,2366,3,3,36,none,own,1,management,1,yes,no
21,good,furniture/appliances,1835,3,2,25,none,own,2,skilled,1,yes,yes
24,critical,car,3868,4,2,41,none,rent,2,management,1,yes,no
12,good,furniture/appliances,1768,3,2,24,none,rent,1,unskilled,1,no,no
10,critical,car,781,4,4,63,none,other,2,skilled,1,yes,no
18,good,furniture/appliances,1924,4,3,27,none,rent,1,skilled,1,no,yes
12,critical,car,2121,4,2,30,none,own,2,skilled,1,no,no
12,good,furniture/appliances,701,4,2,40,none,own,1,unskilled,1,no,no
12,good,renovations,639,4,2,30,none,own,1,skilled,1,no,yes
12,critical,car,1860,4,2,34,none,own,2,management,1,yes,no
12,critical,car,3499,3,2,29,none,own,2,skilled,1,no,yes
48,good,car,8487,1,2,24,none,own,1,skilled,1,no,no
36,poor,education,6887,4,3,29,store,own,1,skilled,1,yes,yes
15,good,furniture/appliances,2708,2,3,27,bank,own,2,unskilled,1,no,no
18,good,furniture/appliances,1984,4,4,47,bank,other,2,skilled,1,no,no
60,good,furniture/appliances,10144,2,4,21,none,own,1,skilled,1,yes,no
12,critical,furniture/appliances,1240,4,2,38,none,own,2,skilled,1,yes,no
27,poor,car,8613,2,2,27,none,own,2,skilled,1,no,no
12,good,furniture/appliances,766,4,3,66,none,own,1,unskilled,1,no,yes
15,critical,furniture/appliances,2728,4,2,35,bank,own,3,skilled,1,yes,no
12,good,furniture/appliances,1881,2,2,44,none,rent,1,unskilled,1,yes,no
6,good,car,709,2,2,27,none,own,1,unemployed,1,no,no
36,good,furniture/appliances,4795,4,1,30,none,own,1,management,1,yes,no
27,good,furniture/appliances,3416,3,2,27,none,own,1,management,1,no,no
18,good,furniture/appliances,2462,2,2,22,none,own,1,skilled,1,no,yes
21,critical,furniture/appliances,2288,4,4,23,none,own,1,skilled,1,yes,no
48,very good,business,3566,4,2,30,none,own,1,skilled,1,no,no
6,critical,car,860,1,4,39,none,own,2,skilled,1,yes,no
12,critical,car,682,4,3,51,none,own,2,skilled,1,yes,no
36,critical,furniture/appliances,5371,3,2,28,none,own,2,skilled,1,no,no
18,critical,furniture/appliances,1582,4,4,46,none,own,2,skilled,1,no,no
6,good,furniture/appliances,1346,2,4,42,bank,other,1,skilled,2,yes,no
10,good,furniture/appliances,1924,1,4,38,none,own,1,skilled,1,yes,no
36,good,furniture/appliances,5848,4,1,24,none,own,1,skilled,1,no,no
24,critical,car,7758,2,4,29,none,rent,1,skilled,1,no,no
24,poor,business,6967,4,4,36,none,rent,1,management,1,yes,no
12,good,furniture/appliances,1282,2,4,20,none,rent,1,skilled,1,no,yes
9,critical,renovations,1288,3,4,48,none,own,2,skilled,2,no,no
12,very good,education,339,4,1,45,bank,own,1,unskilled,1,no,no
24,good,car,3512,2,3,38,bank,own,2,skilled,1,yes,no
6,critical,furniture/appliances,1898,1,2,34,none,own,2,unskilled,2,no,no
24,critical,furniture/appliances,2872,3,4,36,none,own,1,skilled,2,yes,no
18,critical,car,1055,4,1,30,none,own,2,skilled,1,no,no
15,good,furniture/appliances,1262,4,3,36,none,own,2,skilled,1,yes,no
10,good,car,7308,2,4,70,bank,other,1,management,1,yes,no
36,good,car,909,4,4,36,none,own,1,skilled,1,no,no
6,good,furniture/appliances,2978,1,2,32,none,own,1,skilled,1,yes,no
18,good,furniture/appliances,1131,4,2,33,none,own,1,skilled,1,no,yes
11,good,furniture/appliances,1577,4,1,20,none,own,1,skilled,1,no,no
24,good,furniture/appliances,3972,2,4,25,none,rent,1,skilled,1,yes,no
24,critical,business,1935,4,4,31,none,own,2,skilled,1,yes,yes
15,perfect,car,950,4,3,33,none,rent,2,skilled,2,no,yes
12,good,furniture/appliances,763,4,1,26,none,own,1,skilled,1,yes,no
24,poor,furniture/appliances,2064,3,2,34,none,own,1,management,1,yes,yes
8,good,furniture/appliances,1414,4,2,33,none,own,1,skilled,1,no,no
21,poor,education,3414,2,1,26,none,own,2,skilled,1,no,yes
30,very good,car,7485,4,1,53,bank,own,1,management,1,yes,yes
12,good,furniture/appliances,2577,2,1,42,none,own,1,skilled,1,no,no
6,critical,furniture/appliances,338,4,4,52,none,own,2,skilled,1,no,no
12,good,furniture/appliances,1963,4,2,31,none,rent,2,management,2,yes,no
21,critical,car,571,4,4,65,none,own,2,skilled,1,no,no
36,poor,business,9572,1,1,28,none,own,2,skilled,1,no,yes
36,poor,business,4455,2,2,30,store,own,2,management,1,yes,yes
21,very good,car,1647,4,2,40,none,own,2,unskilled,2,no,yes
24,critical,furniture/appliances,3777,4,4,50,none,own,1,skilled,1,yes,no
18,critical,car,884,4,4,36,bank,own,1,skilled,2,yes,yes
15,critical,furniture/appliances,1360,4,2,31,none,own,2,skilled,1,no,no
9,very good,car,5129,2,4,74,bank,other,1,management,2,yes,yes
16,critical,car,1175,2,3,68,none,other,3,unemployed,1,yes,no
12,good,furniture/appliances,674,4,1,20,none,own,1,skilled,1,no,yes
18,perfect,furniture/appliances,3244,1,4,33,bank,own,2,skilled,1,yes,no
24,good,business,4591,2,3,54,none,own,3,management,1,yes,yes
48,perfect,business,3844,4,4,34,none,other,1,unskilled,2,no,yes
27,good,business,3915,4,2,36,none,own,1,skilled,2,yes,yes
6,good,furniture/appliances,2108,2,2,29,none,rent,1,skilled,1,no,no
45,good,furniture/appliances,3031,4,4,21,none,rent,1,skilled,1,no,yes
9,critical,education,1501,2,3,34,none,own,2,management,1,yes,yes
6,critical,furniture/appliances,1382,1,1,28,none,own,2,skilled,1,yes,no
12,good,furniture/appliances,951,4,4,27,bank,rent,4,skilled,1,no,yes
24,good,car,2760,4,4,36,bank,other,1,skilled,1,yes,no
18,poor,furniture/appliances,4297,4,3,40,none,own,1,management,1,yes,yes
9,critical,education,936,4,2,52,none,own,2,skilled,1,yes,no
12,good,car,1168,4,3,27,none,own,1,unskilled,1,no,no
27,poor,business,5117,3,4,26,none,own,2,skilled,1,no,no
12,good,education,902,4,4,21,none,rent,1,skilled,1,no,yes
12,critical,car,1495,4,1,38,none,own,2,unskilled,2,no,no
30,critical,car,10623,3,4,38,none,other,3,management,2,yes,no
12,critical,furniture/appliances,1935,4,4,43,none,own,3,skilled,1,yes,no
12,critical,furniture/appliances,1424,4,3,26,none,own,1,skilled,1,no,no
24,good,business,6568,2,2,21,store,own,1,unskilled,1,no,no
12,good,car,1413,3,2,55,none,own,1,skilled,1,no,no
9,critical,furniture/appliances,3074,1,2,33,none,own,2,skilled,2,no,no
36,good,furniture/appliances,3835,2,4,45,none,own,1,unskilled,1,yes,no
27,perfect,business,5293,2,4,50,store,own,2,skilled,1,yes,yes
30,poor,business,1908,4,4,66,none,own,1,management,1,yes,yes
36,critical,furniture/appliances,3342,4,2,51,none,own,1,skilled,1,yes,no
6,critical,education,932,1,3,39,none,own,2,unskilled,1,no,no
18,perfect,business,3104,3,1,31,bank,own,1,skilled,1,yes,no
36,good,furniture/appliances,3913,2,2,23,none,own,1,skilled,1,yes,no
24,good,furniture/appliances,3021,2,2,24,none,rent,1,unskilled,1,no,no
10,good,car,1364,2,4,64,none,own,1,skilled,1,yes,no
12,good,furniture/appliances,625,4,1,26,bank,own,1,unskilled,1,no,no
12,good,education,1200,4,4,23,bank,rent,1,skilled,1,yes,no
12,good,furniture/appliances,707,4,2,30,bank,own,2,skilled,1,no,no
24,poor,business,2978,4,4,32,none,own,2,skilled,2,yes,no
15,good,car,4657,3,2,30,none,own,1,skilled,1,yes,no
36,perfect,renovations,2613,4,2,27,none,own,2,skilled,1,no,no
48,good,furniture/appliances,10961,1,2,27,bank,own,2,skilled,1,yes,yes
12,good,furniture/appliances,7865,4,4,53,none,other,1,management,1,yes,yes
9,good,furniture/appliances,1478,4,2,22,none,own,1,skilled,1,no,yes
24,good,furniture/appliances,3149,4,1,22,bank,other,1,skilled,1,no,no
36,good,furniture/appliances,4210,4,2,26,none,own,1,skilled,1,no,yes
9,good,car,2507,2,4,51,none,other,1,unskilled,1,no,no
12,good,furniture/appliances,2141,3,1,35,none,own,1,skilled,1,no,no
18,good,furniture/appliances,866,4,2,25,none,own,1,unskilled,1,no,no
4,critical,furniture/appliances,1544,2,1,42,none,own,3,unskilled,2,no,no
24,good,furniture/appliances,1823,4,2,30,store,own,1,management,2,no,yes
6,good,car,14555,1,2,23,none,own,1,unemployed,1,yes,yes
21,good,business,2767,4,2,61,bank,rent,2,unskilled,1,no,yes
12,critical,furniture/appliances,1291,4,2,35,none,own,2,skilled,1,no,no
30,good,furniture/appliances,2522,1,3,39,none,own,1,skilled,2,no,no
24,good,car,915,4,2,29,bank,own,1,skilled,1,no,yes
6,good,furniture/appliances,1595,3,2,51,none,own,1,skilled,2,no,no
48,perfect,car,4605,3,4,24,none,other,2,skilled,2,no,yes
12,critical,business,1185,3,2,27,none,own,2,skilled,1,no,no
12,very good,education,3447,4,3,35,none,own,1,unskilled,2,no,no
24,good,business,1258,4,1,25,none,own,1,skilled,1,yes,no
12,critical,furniture/appliances,717,4,4,52,none,own,3,skilled,1,no,no
6,perfect,car,1204,4,1,35,bank,rent,1,skilled,1,no,no
24,good,furniture/appliances,1925,2,2,26,none,own,1,skilled,1,no,no
18,good,furniture/appliances,433,3,4,22,none,rent,1,skilled,1,no,yes
6,critical,car,666,3,4,39,none,own,2,unskilled,1,yes,no
12,good,furniture/appliances,2251,1,2,46,none,own,1,unskilled,1,no,no
30,good,car,2150,4,2,24,bank,own,1,skilled,1,no,yes
24,poor,furniture/appliances,4151,2,3,35,none,own,2,skilled,1,no,no
9,good,furniture/appliances,2030,2,1,24,none,own,1,skilled,1,yes,no
60,poor,furniture/appliances,7418,1,1,27,none,own,1,unskilled,1,no,no
24,critical,furniture/appliances,2684,4,2,35,none,own,2,unskilled,1,no,no
12,very good,furniture/appliances,2149,4,1,29,none,other,1,skilled,1,no,yes
15,good,car,3812,1,4,23,none,own,1,skilled,1,yes,no
11,critical,furniture/appliances,1154,4,4,57,none,own,3,unskilled,1,no,no
12,good,furniture/appliances,1657,2,2,27,none,own,1,skilled,1,no,no
24,good,furniture/appliances,1603,4,4,55,none,own,1,skilled,1,no,no
18,critical,car,5302,2,4,36,none,other,3,management,1,yes,no
12,critical,education,2748,2,4,57,bank,other,3,unskilled,1,no,no
10,critical,car,1231,3,4,32,none,own,2,unskilled,2,no,no
15,good,furniture/appliances,802,4,3,37,none,own,1,skilled,2,no,yes
36,critical,business,6304,4,4,36,none,own,2,skilled,1,no,no
24,good,furniture/appliances,1533,4,3,38,store,own,1,skilled,1,yes,no
14,good,car,8978,1,4,45,none,own,1,management,1,yes,yes
24,good,furniture/appliances,999,4,2,25,none,own,2,skilled,1,no,no
18,good,car,2662,4,3,32,none,own,1,skilled,1,no,no
12,critical,furniture/appliances,1402,3,4,37,none,rent,1,skilled,1,yes,no
48,very good,car,12169,4,4,36,none,other,1,management,1,yes,no
48,good,furniture/appliances,3060,4,4,28,none,own,2,skilled,1,no,yes
30,good,renovations,11998,1,1,34,none,own,1,unskilled,1,yes,yes
9,good,furniture/appliances,2697,1,2,32,none,own,1,skilled,2,no,no
18,critical,furniture/appliances,2404,2,2,26,none,own,2,skilled,1,no,no
12,good,furniture/appliances,1262,2,4,49,none,own,1,unskilled,1,yes,no
6,good,furniture/appliances,4611,1,4,32,none,own,1,skilled,1,no,yes
24,good,furniture/appliances,1901,4,4,29,none,rent,1,management,1,yes,no
15,critical,car,3368,3,4,23,none,rent,2,skilled,1,yes,no
12,good,furniture/appliances,1574,4,2,50,none,own,1,skilled,1,no,no
18,very good,furniture/appliances,1445,4,4,49,bank,own,1,unskilled,1,no,no
15,critical,furniture/appliances,1520,4,4,63,none,own,1,skilled,1,no,no
24,critical,car,3878,4,2,37,none,own,1,skilled,1,yes,no
47,good,car,10722,1,1,35,none,own,1,unskilled,1,yes,no
48,good,car,4788,4,3,26,none,own,1,skilled,2,no,no
48,poor,car0,7582,2,4,31,none,other,1,management,1,yes,no
12,good,furniture/appliances,1092,4,4,49,none,own,2,skilled,1,yes,no
24,poor,furniture/appliances,1024,4,4,48,store,own,1,skilled,1,no,yes
12,good,business,1076,2,2,26,none,own,1,skilled,1,yes,no
36,good,car,9398,1,4,28,none,rent,1,management,1,yes,yes
24,critical,car,6419,2,4,44,none,other,2,management,2,yes,no
42,critical,car,4796,4,4,56,none,other,1,skilled,1,no,no
48,critical,business,7629,4,2,46,bank,own,2,management,2,no,no
48,good,furniture/appliances,9960,1,2,26,none,own,1,skilled,1,yes,yes
12,good,car,4675,1,4,20,none,rent,1,skilled,1,no,no
10,good,car,1287,4,2,45,none,own,1,unskilled,1,no,no
18,good,furniture/appliances,2515,3,4,43,none,own,1,skilled,1,yes,no
21,critical,furniture/appliances,2745,3,2,32,none,own,2,skilled,1,yes,no
6,good,car,672,1,4,54,none,own,1,unemployed,1,yes,no
36,perfect,furniture/appliances,3804,4,1,42,none,own,1,skilled,1,yes,yes
24,critical,car,1344,4,2,37,bank,own,2,unskilled,2,no,yes
10,critical,car,1038,4,3,49,none,own,2,skilled,1,yes,no
48,critical,car,10127,2,2,44,bank,other,1,skilled,1,no,yes
6,good,furniture/appliances,1543,4,2,33,none,own,1,skilled,1,no,no
30,good,car,4811,2,4,24,store,rent,1,unskilled,1,no,no
12,good,furniture/appliances,727,4,3,33,none,own,1,unskilled,1,yes,yes
8,good,furniture/appliances,1237,3,4,24,none,own,1,skilled,1,no,yes
9,good,car,276,4,4,22,none,rent,1,unskilled,1,no,no
48,good,car0,5381,3,4,40,bank,other,1,unemployed,1,yes,no
24,good,furniture/appliances,5511,4,1,25,store,own,1,skilled,1,no,no
24,good,furniture/appliances,3749,2,4,26,none,own,1,skilled,1,no,no
12,good,car,685,2,3,25,bank,own,1,unskilled,1,no,yes
4,good,car,1494,1,2,29,none,own,1,unskilled,2,no,no
36,very good,furniture/appliances,2746,4,4,31,bank,own,1,skilled,1,no,yes
12,good,furniture/appliances,708,2,3,38,none,own,1,unskilled,2,no,no
24,good,furniture/appliances,4351,1,4,48,none,own,1,unskilled,1,yes,no
12,critical,education,701,4,2,32,none,own,2,skilled,1,no,no
15,poor,furniture/appliances,3643,1,4,27,none,own,2,unskilled,1,no,no
30,critical,car,4249,4,2,28,none,own,2,management,1,no,yes
24,good,furniture/appliances,1938,4,3,32,none,own,1,skilled,1,no,yes
24,good,car,2910,2,1,34,none,other,1,management,1,yes,no
18,good,furniture/appliances,2659,4,2,28,none,own,1,skilled,1,no,no
18,critical,car,1028,4,3,36,none,own,2,skilled,1,no,no
8,critical,car,3398,1,4,39,none,own,2,unskilled,1,no,no
12,critical,furniture/appliances,5801,2,4,49,none,rent,1,skilled,1,yes,no
24,good,car,1525,4,3,34,none,own,1,skilled,2,yes,no
36,good,furniture/appliances,4473,4,2,31,none,own,1,skilled,1,no,no
